project_key,nk_company_id,nk_project_id,nk_org_id,nk_employee_id,nk_level_number,project_type,project_name,project_long_name,billable_project_flag,active_flag,project_classification,project_end_date,project_start_date,account_group_code,time_collection_project_flag,revenue_formula_code,revenue_formula_description,bill_info_flag,project_total_value,project_level2_value,proj_link_name,proj_link_cust_id,customer_name,supervisor_id,supervisor_name,pm_id,project_manager,project_classification_type,project_linked_project_name,linked_project_contract_value,billing_currency_cd,contract_value_usd,row_is_current,Client Go Live,Complexity,Country,City,Project Status,Risk Metric
PRJ2022-131,COMP54061,PROJ8780,ORG99275,,LVL3,IT Consulting,Network Troubleshooting & Support,,,,Small Business,31/10/2023,06/11/2023,ACC359,SUP9449,,,,,,,,Ray-Duncan,SUP2110,Andrea Grimes,PM2186,Zachary Brown,,,,,27546,,16/11/2023,Medium,Australia,East James,In Progress,Medium
PRJ2025-253,COMP92018,PROJ5208,ORG35674,,LVL2,IT Infrastructure,IT Audit and Compliance,,,,Small Business,,30/06/2023,ACC894,SUP2467,,,,,,,,"Thomas, Howell and Spencer",SUP9747,Shawn Hogan,PM9582,Michael Riggs,,,,,14087,,,Medium,Spain,South Melissafort,Completed,High
PRJ2025-132,COMP11972,PROJ3692,ORG72957,,LVL3,IT Infrastructure,Cloud Security Optimization,,,,Small Business,03/05/2025,03/09/2023,ACC568,SUP9767,,,,,,,,Moore LLC,SUP5040,Molly Garcia,PM6693,Kathryn Romero,,,,,12335,,30/05/2025,Low,Brazil,Jamesland,In Progress,Low
PRJ2023-191,COMP74884,PROJ3560,ORG62120,,LVL3,IT Consulting,Infrastructure Upgrade,,,,Enterprise,27/08/2025,25/12/2023,ACC158,SUP9732,,,,,,,,Lloyd PLC,SUP4993,Emily King,PM3477,Jennifer Fry,,,,,33095,,26/09/2025,Medium,France,Daniellehaven,In Progress,Low
PRJ2023-625,COMP58158,PROJ1624,ORG75316,,LVL3,Software Development,CRM Implementation,,,,Enterprise,19/01/2024,22/06/2021,ACC357,SUP2010,,,,,,,,Castillo-Williams,SUP4187,Benjamin Shelton,PM4616,Anthony Cruz,,,,,41860,,17/02/2024,High,Spain,Avilaland,In Progress,High
PRJ2022-559,COMP74894,PROJ5793,ORG12937,,LVL3,IT Consulting,E-commerce Platform Integration,,,,Small Business,,26/10/2022,ACC757,SUP8196,,,,,,,,Mclean LLC,SUP8085,Madison Chase,PM6713,Mercedes Hicks,,,,,47629,,,Medium,Japan,Smithshire,Completed,Low
PRJ2023-470,COMP53992,PROJ2857,ORG63245,,LVL1,Software Development,IT Audit and Compliance,,,,Enterprise,13/12/2023,29/04/2022,ACC241,SUP5882,,,,,,,,Foster Group,SUP2502,Natalie West,PM3644,Teresa Watson,,,,,27226,,02/01/2024,High,Brazil,West Megan,Completed,Medium
PRJ2021-423,COMP17776,PROJ5506,ORG89134,,LVL2,IT Infrastructure,Web Application Development,,,,Enterprise,05/06/2025,02/05/2024,ACC223,SUP2840,,,,,,,,"Bell, Ferrell and Jensen",SUP2143,Colleen Williams,PM2840,Russell Walter,,,,,26933,,23/06/2025,Medium,Australia,Schroederburgh,In Progress,High
PRJ2025-395,COMP37969,PROJ4680,ORG68464,,LVL1,Software Development,E-commerce Platform Integration,,,,Enterprise,10/08/2024,08/04/2023,ACC236,SUP1219,,,,,,,,Jones-Parks,SUP4744,Frederick Castro,PM4737,Diane Hall,,,,,18041,,31/08/2024,High,Spain,New Matthewstad,Completed,Low
PRJ2025-495,COMP66389,PROJ7315,ORG74442,,LVL2,IT Consulting,CRM Implementation,,,,Small Business,,26/11/2021,ACC974,SUP4530,,,,,,,,Stanley PLC,SUP5905,Jason Russell,PM6889,John Johnson,,,,,42555,,,High,Spain,New Jonathanville,Completed,Low
PRJ2028-966,COMP48830,PROJ6936,ORG50915,,LVL1,IT Infrastructure,E-commerce Platform Integration,,,,Enterprise,17/06/2024,27/08/2022,ACC716,SUP6371,,,,,,,,Espinoza-Robinson,SUP2136,Denise Trevino,PM7522,April Chambers,,,,,48750,,29/06/2024,Medium,UK,Port Pamelafurt,In Progress,Medium
PRJ2027-264,COMP54547,PROJ4536,ORG25618,,LVL1,Software Development,Database Migration,,,,Small Business,,26/05/2023,ACC562,SUP2107,,,,,,,,Larson and Sons,SUP3977,Tasha Sutton,PM4240,Larry Landry,,,,,11615,,,Medium,France,Nicholasmouth,Completed,Medium
PRJ2024-531,COMP59048,PROJ2143,ORG16057,,LVL3,IT Infrastructure,Network Troubleshooting & Support,,,,Small Business,28/05/2022,04/12/2021,ACC978,SUP9108,,,,,,,,Gross-Crawford,SUP7134,Anthony Fox,PM4278,Lisa Chavez,,,,,22259,,12/06/2022,High,France,Lake Troy,Completed,Medium
PRJ2026-825,COMP83484,PROJ6960,ORG28831,,LVL2,IT Infrastructure,Cloud Security Optimization,,,,Small Business,21/12/2026,09/07/2024,ACC247,SUP6013,,,,,,,,"Parks, Wright and Everett",SUP8085,Kristen Bryant,PM5370,Nicholas Carpenter,,,,,40655,,26/12/2026,High,Brazil,Scotthaven,In Progress,Low
PRJ2026-843,COMP33267,PROJ8990,ORG53565,,LVL1,IT Infrastructure,Web Application Development,,,,Enterprise,22/03/2026,19/09/2024,ACC664,SUP4127,,,,,,,,Mckenzie Group,SUP5024,Sergio Mayer,PM7488,Scott Conner,,,,,23299,,29/03/2026,Low,Japan,Hayesmouth,Completed,High
PRJ2026-374,COMP53132,PROJ7622,ORG13676,,LVL3,Software Development,Mobile App Development,,,,Enterprise,,26/09/2024,ACC668,SUP9347,,,,,,,,Day-Scott,SUP4497,Angela Anderson,PM9960,Jonathan Lopez,,,,,42524,,,Medium,France,Lake Benjamin,In Progress,Low
PRJ2026-863,COMP18055,PROJ5310,ORG27094,,LVL3,IT Infrastructure,Managed Helpdesk Services,,,,Small Business,24/07/2022,02/04/2021,ACC834,SUP1471,,,,,,,,"Day, Perez and Rogers",SUP5553,Casey Taylor,PM5444,Edward Walker,,,,,29088,,14/08/2022,Low,Spain,Walterchester,Completed,High
PRJ2027-808,COMP10728,PROJ8789,ORG86994,,LVL1,Software Development,Cloud Security Optimization,,,,Enterprise,24/07/2022,06/02/2022,ACC943,SUP1743,,,,,,,,Kaufman LLC,SUP2704,Katherine Reed,PM5827,Rachel Jones,,,,,20303,,20/08/2022,High,Brazil,East Christyside,In Progress,High
PRJ2027-853,COMP24107,PROJ8025,ORG43859,,LVL1,Software Development,Mobile App Development,,,,Enterprise,13/09/2025,29/04/2024,ACC995,SUP7421,,,,,,,,Bradley-Boone,SUP7736,Sara Adkins,PM9457,Tiffany Rogers,,,,,49432,,20/09/2025,Medium,France,Kimberlyborough,In Progress,High
PRJ2025-935,COMP45249,PROJ3294,ORG96386,,LVL2,Software Development,Mobile App Development,,,,Enterprise,18/05/2022,28/01/2021,ACC597,SUP8633,,,,,,,,Jones-Harris,SUP5984,Lisa Alvarez,PM8893,Ricky Glover,,,,,26142,,14/06/2022,High,USA,North Scott,In Progress,Medium
PRJ2023-230,COMP47071,PROJ7866,ORG69645,,LVL2,IT Consulting,Infrastructure Upgrade,,,,Small Business,20/12/2025,29/03/2023,ACC465,SUP3753,,,,,,,,Shelton Ltd,SUP3964,Nichole Martin,PM7473,Mark Flores,,,,,38697,,31/12/2025,High,UK,Paigeland,In Progress,Low
PRJ2028-100,COMP79838,PROJ5319,ORG13268,,LVL2,Software Development,Client Portal Revamp,,,,Enterprise,,26/01/2023,ACC647,SUP5186,,,,,,,,"Kirby, Montoya and Campbell",SUP6798,Melanie Berger,PM9406,Steven Daniel,,,,,39540,,,High,Australia,Mcclainberg,In Progress,Medium
PRJ2028-345,COMP20383,PROJ9834,ORG84377,,LVL3,IT Consulting,Network Troubleshooting & Support,,,,Small Business,05/06/2021,14/06/2021,ACC871,SUP4421,,,,,,,,Miller-Hayes,SUP4405,Joseph Simmons,PM3507,Kyle Whitaker,,,,,27989,,24/06/2021,Medium,Italy,Dustinville,Completed,Low
PRJ2026-694,COMP96509,PROJ9299,ORG50639,,LVL3,IT Consulting,Data Analytics Platform Implementation,,,,Enterprise,26/02/2024,29/04/2023,ACC680,SUP4923,,,,,,,,"Castro, Flores and Walker",SUP1197,Tiffany Buchanan,PM2822,Jason Smith,,,,,22937,,17/03/2024,Low,France,Lake Jason,Completed,Low
PRJ2028-364,COMP22232,PROJ5452,ORG72896,,LVL3,Software Development,Client Portal Revamp,,,,Enterprise,18/03/2026,04/07/2023,ACC950,SUP4231,,,,,,,,Hendricks-Parsons,SUP5917,Matthew Bailey,PM2837,Christopher Brown,,,,,18915,,31/03/2026,High,Spain,Lake Selena,Completed,Medium
PRJ2021-120,COMP14614,PROJ2953,ORG19126,,LVL3,Software Development,Data Analytics Platform Implementation,,,,Enterprise,11/08/2022,28/11/2021,ACC883,SUP2643,,,,,,,,Rhodes Group,SUP9438,Natalie Williams,PM9909,Ronald Hays,,,,,33924,,19/08/2022,Medium,Spain,Evanhaven,Completed,Low
PRJ2021-484,COMP51870,PROJ4954,ORG63423,,LVL3,Software Development,Mobile App Development,,,,Small Business,19/10/2024,04/08/2024,ACC735,SUP1827,,,,,,,,Moody Group,SUP6555,Nicholas Miller,PM5016,Penny Blevins,,,,,27403,,09/11/2024,Low,UK,Port Joseph,In Progress,High
PRJ2025-213,COMP38333,PROJ6619,ORG83212,,LVL2,IT Consulting,Data Analytics Platform Implementation,,,,Enterprise,,29/11/2023,ACC452,SUP4996,,,,,,,,Rose Ltd,SUP7844,Claudia Burton,PM2011,Bobby Clark,,,,,25884,,,High,Brazil,North Michellemouth,In Progress,Low
PRJ2025-449,COMP68943,PROJ8849,ORG34652,,LVL2,IT Consulting,CRM Implementation,,,,Small Business,07/10/2025,18/05/2024,ACC560,SUP7620,,,,,,,,"Hicks, Turner and Williams",SUP2850,Danielle Perez,PM2337,Kyle Wu,,,,,20026,,12/10/2025,Low,France,Walterside,Completed,Low
PRJ2023-598,COMP48581,PROJ3615,ORG96635,,LVL3,Software Development,CRM Implementation,,,,Small Business,22/11/2023,04/09/2022,ACC227,SUP5630,,,,,,,,Perry Inc,SUP6805,Robert Miller,PM4384,James Fuller,,,,,12728,,08/12/2023,High,UK,North Teresa,In Progress,Low
PRJ2028-782,COMP78258,PROJ9546,ORG97096,,LVL2,IT Infrastructure,Cloud Security Optimization,,,,Enterprise,,14/10/2023,ACC233,SUP7826,,,,,,,,"King, Mora and Rangel",SUP6654,Riley Bennett,PM5455,Timothy Johns,,,,,27919,,,High,UK,South Edwardburgh,Completed,High
PRJ2025-413,COMP68804,PROJ3321,ORG57952,,LVL3,IT Consulting,IT Audit and Compliance,,,,Enterprise,20/03/2024,14/07/2021,ACC495,SUP9660,,,,,,,,Robinson-Howe,SUP9111,Robert Davis,PM3963,Susan Shaw,,,,,23326,,21/03/2024,High,USA,New Stephanieside,In Progress,High
PRJ2026-509,COMP65026,PROJ3428,ORG58498,,LVL3,IT Consulting,Cloud Security Optimization,,,,Enterprise,06/04/2022,10/02/2021,ACC234,SUP1798,,,,,,,,Lopez-Thomas,SUP3856,Sarah Fitzpatrick,PM2120,Matthew Sanchez,,,,,43230,,02/05/2022,Low,Japan,New Christopherborough,Completed,Low
PRJ2027-151,COMP18073,PROJ7834,ORG24221,,LVL1,Software Development,CRM Implementation,,,,Small Business,08/04/2022,05/02/2021,ACC659,SUP6480,,,,,,,,"Watts, Johnson and Wood",SUP6942,Allison Roberts,PM7279,Alice Lewis,,,,,29994,,24/04/2022,High,USA,Myersborough,In Progress,Low
PRJ2026-816,COMP44143,PROJ8723,ORG30947,,LVL2,Software Development,CRM Implementation,,,,Enterprise,19/07/2026,05/04/2024,ACC863,SUP3890,,,,,,,,Jones Inc,SUP3659,Kristina Jones,PM8869,Tracey Knapp,,,,,17681,,15/08/2026,Low,France,East Jessicaburgh,In Progress,High
PRJ2024-377,COMP72285,PROJ2735,ORG28358,,LVL3,Software Development,E-commerce Platform Integration,,,,Enterprise,23/08/2023,07/11/2021,ACC162,SUP3316,,,,,,,,Johnson-White,SUP3006,John Hughes,PM8040,Erin Rogers,,,,,31493,,29/08/2023,Low,Brazil,East Kathryn,In Progress,High
PRJ2022-449,COMP92819,PROJ7674,ORG23054,,LVL3,IT Infrastructure,IT Audit and Compliance,,,,Enterprise,20/11/2023,05/06/2022,ACC883,SUP5436,,,,,,,,Hernandez Group,SUP5934,Debbie Miller,PM8053,Eric Thomas,,,,,44644,,13/12/2023,Medium,France,East Sharontown,In Progress,Low
PRJ2023-140,COMP43294,PROJ5375,ORG73404,,LVL3,IT Consulting,Network Troubleshooting & Support,,,,Enterprise,06/02/2023,24/07/2021,ACC430,SUP1552,,,,,,,,Hall-Fritz,SUP7982,Edward Frye,PM7571,Ryan Young,,,,,20788,,07/03/2023,Medium,UK,Warrenland,In Progress,Medium
PRJ2022-265,COMP60196,PROJ9094,ORG44600,,LVL2,IT Consulting,Database Migration,,,,Enterprise,23/03/2027,10/08/2024,ACC907,SUP2112,,,,,,,,Abbott Group,SUP4302,Joshua Horne,PM8370,Melissa Patel,,,,,28028,,13/04/2027,Medium,France,South Russell,Completed,Low
PRJ2028-292,COMP57856,PROJ8292,ORG57810,,LVL3,IT Consulting,Mobile App Development,,,,Enterprise,,22/12/2021,ACC340,SUP6194,,,,,,,,Cervantes and Sons,SUP2052,Sheila Serrano,PM6508,Mark Carlson,,,,,25210,,,High,Germany,Jeffreyborough,Completed,Medium
PRJ2024-468,COMP95445,PROJ8290,ORG97912,,LVL1,IT Consulting,Mobile App Development,,,,Enterprise,,23/12/2023,ACC542,SUP8300,,,,,,,,Miller-Wilson,SUP1438,Jake Phillips,PM7045,Juan Morgan,,,,,21235,,,High,Japan,Laurafort,In Progress,High
PRJ2022-931,COMP52826,PROJ2628,ORG27149,,LVL3,IT Consulting,Managed Helpdesk Services,,,,Enterprise,05/10/2024,07/11/2023,ACC798,SUP6881,,,,,,,,Hayes-Pennington,SUP1813,Curtis Rogers,PM6444,Margaret Elliott,,,,,12010,,01/11/2024,High,Spain,Batesburgh,Completed,Medium
PRJ2023-153,COMP15747,PROJ4031,ORG74591,,LVL3,IT Consulting,Managed Helpdesk Services,,,,Enterprise,,03/07/2023,ACC589,SUP6935,,,,,,,,Hickman-Norris,SUP6565,Tara Donovan,PM7830,Timothy Meza,,,,,39287,,,High,Germany,Wonghaven,In Progress,Medium
PRJ2024-999,COMP61100,PROJ8796,ORG70097,,LVL3,Software Development,Managed Helpdesk Services,,,,Small Business,09/03/2023,26/08/2021,ACC324,SUP8693,,,,,,,,Brooks-Aguilar,SUP2836,Antonio Klein,PM8372,Bailey Kennedy,,,,,33459,,25/03/2023,Medium,Italy,East Kyleburgh,In Progress,Low
PRJ2025-880,COMP81829,PROJ5531,ORG63235,,LVL1,Software Development,Data Analytics Platform Implementation,,,,Small Business,,08/08/2022,ACC557,SUP3267,,,,,,,,Larsen Ltd,SUP2050,Megan Collins,PM8400,Michelle Riley,,,,,33216,,,Medium,Japan,Frankmouth,In Progress,Medium
PRJ2023-317,COMP59986,PROJ8905,ORG14560,,LVL2,IT Consulting,E-commerce Platform Integration,,,,Enterprise,19/03/2022,24/06/2021,ACC540,SUP7579,,,,,,,,Bowman PLC,SUP8678,Christopher Ramirez,PM5828,Sarah Jackson,,,,,27071,,06/04/2022,Medium,France,Dustinmouth,Completed,Medium
PRJ2026-943,COMP93712,PROJ2288,ORG51470,,LVL1,Software Development,Managed Helpdesk Services,,,,Small Business,07/07/2024,09/06/2023,ACC580,SUP2053,,,,,,,,Kramer-Pearson,SUP2579,Randy Chapman,PM3839,Melissa Thomas,,,,,46609,,18/07/2024,Medium,Japan,East Sue,In Progress,Low
PRJ2028-757,COMP46090,PROJ9947,ORG44773,,LVL1,IT Consulting,IT Audit and Compliance,,,,Small Business,03/05/2023,11/11/2021,ACC817,SUP8959,,,,,,,,Gentry-Lopez,SUP9425,John Ortiz,PM5134,Madison Ware,,,,,30673,,18/05/2023,High,Germany,East Gabrielabury,In Progress,Medium
PRJ2023-880,COMP18512,PROJ2607,ORG56502,,LVL2,IT Infrastructure,Network Troubleshooting & Support,,,,Enterprise,08/08/2022,29/08/2021,ACC198,SUP3735,,,,,,,,Lee Inc,SUP3426,Mr. Hayden Schneider,PM3157,Lisa Brooks,,,,,16049,,12/08/2022,High,Italy,Whitefort,Completed,Medium
PRJ2026-613,COMP84903,PROJ3175,ORG58635,,LVL1,IT Consulting,Mobile App Development,,,,Enterprise,19/05/2023,21/11/2021,ACC391,SUP9183,,,,,,,,Fuentes and Sons,SUP1884,Paul Bowen,PM2716,Kimberly Marshall,,,,,39025,,05/06/2023,Low,Canada,Seanfurt,Completed,High
PRJ2025-612,COMP95603,PROJ8194,ORG18307,,LVL3,Software Development,Managed Helpdesk Services,,,,Small Business,28/11/2026,11/10/2024,ACC563,SUP7662,,,,,,,,Cuevas-Wilson,SUP4879,Tara Robinson,PM5426,Sara James,,,,,30079,,11/12/2026,Low,Germany,Lawsonshire,Completed,Low
PRJ2024-715,COMP17046,PROJ7881,ORG32956,,LVL2,Software Development,Managed Helpdesk Services,,,,Enterprise,,17/10/2024,ACC657,SUP8322,,,,,,,,"Payne, Duran and Henderson",SUP1890,Anita Chambers,PM4078,Andrew Owens,,,,,45065,,,Medium,France,Emilyfurt,In Progress,High
PRJ2025-845,COMP10796,PROJ9800,ORG73658,,LVL1,IT Consulting,E-commerce Platform Integration,,,,Enterprise,31/03/2026,28/09/2024,ACC605,SUP4846,,,,,,,,Miller Ltd,SUP5143,Megan Patterson,PM3540,Ms. Grace Thompson,,,,,15568,,13/04/2026,Medium,France,Pachecomouth,Completed,Medium
PRJ2021-622,COMP51598,PROJ1011,ORG51742,,LVL1,Software Development,Data Analytics Platform Implementation,,,,Enterprise,04/06/2023,04/11/2021,ACC165,SUP6182,,,,,,,,Wilson-Flores,SUP2931,Matthew Lopez,PM8889,Matthew Stafford,,,,,26789,,05/06/2023,Low,Canada,Wagnerfort,Completed,Low
PRJ2028-288,COMP16282,PROJ8301,ORG75929,,LVL1,IT Infrastructure,Managed Helpdesk Services,,,,Small Business,04/03/2024,29/11/2022,ACC143,SUP2037,,,,,,,,Huff-Cantu,SUP4129,Robert Evans,PM9129,Christopher Shaw,,,,,45093,,12/03/2024,Medium,Japan,Maryborough,In Progress,Low
PRJ2028-387,COMP13734,PROJ7783,ORG76222,,LVL1,IT Infrastructure,CRM Implementation,,,,Small Business,12/02/2024,02/08/2021,ACC934,SUP2783,,,,,,,,Mendez-Bentley,SUP8550,Isaiah Thompson,PM4745,Dawn Chavez,,,,,30582,,01/03/2024,Medium,UK,Michaeltown,In Progress,Low
PRJ2026-258,COMP93677,PROJ2554,ORG56542,,LVL2,IT Consulting,Network Troubleshooting & Support,,,,Enterprise,19/09/2024,10/06/2022,ACC995,SUP9882,,,,,,,,Page Ltd,SUP4925,Sean Hayes,PM8950,Dan Harris,,,,,20474,,03/10/2024,Low,Italy,East Brandonton,In Progress,High
PRJ2021-696,COMP99223,PROJ2516,ORG52759,,LVL1,Software Development,Infrastructure Upgrade,,,,Small Business,15/10/2023,04/06/2022,ACC513,SUP9489,,,,,,,,"Burns, Roberts and Paul",SUP8537,Jason Greene,PM3089,Cynthia Fuentes,,,,,31284,,20/10/2023,Low,Canada,North Julie,Completed,Low
PRJ2021-197,COMP11246,PROJ6086,ORG51319,,LVL2,IT Consulting,Network Troubleshooting & Support,,,,Small Business,03/11/2025,29/09/2023,ACC580,SUP9490,,,,,,,,Boyd and Sons,SUP8933,Tiffany Marsh,PM4632,Brandon Fields,,,,,39159,,25/11/2025,High,UK,South Patrickburgh,Completed,High
PRJ2023-325,COMP97817,PROJ4892,ORG25643,,LVL2,Software Development,CRM Implementation,,,,Enterprise,18/12/2022,07/04/2021,ACC572,SUP7608,,,,,,,,Williams-Craig,SUP2206,Lindsey Gillespie,PM4958,Kimberly Schaefer,,,,,40079,,31/12/2022,High,Italy,Garciastad,Completed,Low
PRJ2027-255,COMP16828,PROJ7481,ORG67818,,LVL2,IT Consulting,CRM Implementation,,,,Small Business,07/11/2024,15/09/2024,ACC815,SUP5349,,,,,,,,Ball-Roberts,SUP4445,Monica Farrell,PM5218,Raven Hernandez,,,,,47815,,05/12/2024,Low,Canada,Wangmouth,Completed,High
PRJ2021-946,COMP13852,PROJ8090,ORG26871,,LVL2,Software Development,Network Troubleshooting & Support,,,,Small Business,09/08/2023,03/06/2021,ACC435,SUP2320,,,,,,,,Douglas Inc,SUP9866,James Sims,PM9216,Christian Gonzalez,,,,,44876,,05/09/2023,Medium,Brazil,Lake Ashleychester,Completed,High
PRJ2022-699,COMP67947,PROJ8785,ORG53486,,LVL3,IT Infrastructure,Infrastructure Upgrade,,,,Enterprise,29/04/2026,19/07/2024,ACC547,SUP9166,,,,,,,,Jones-Bartlett,SUP5249,Jamie Palmer,PM9234,Melanie Guerrero,,,,,43188,,20/05/2026,Medium,Japan,Lake Patrickstad,In Progress,High
PRJ2027-347,COMP23962,PROJ9024,ORG51179,,LVL1,IT Consulting,IT Audit and Compliance,,,,Enterprise,,25/12/2021,ACC127,SUP1884,,,,,,,,"Collins, Crawford and Barber",SUP2097,Douglas Todd,PM7076,Mr. John Perkins,,,,,24460,,,Medium,Brazil,Kathleenland,Completed,High
PRJ2023-309,COMP80313,PROJ3034,ORG40909,,LVL1,IT Infrastructure,Mobile App Development,,,,Enterprise,21/12/2022,18/05/2021,ACC616,SUP5291,,,,,,,,Clark PLC,SUP9202,Hunter Robertson,PM3642,Lisa Lee,,,,,34628,,22/12/2022,Medium,USA,Thomaston,In Progress,High
PRJ2023-337,COMP52593,PROJ1902,ORG95322,,LVL2,Software Development,CRM Implementation,,,,Enterprise,26/01/2024,19/11/2023,ACC330,SUP2576,,,,,,,,Medina Ltd,SUP3203,Ariana Montgomery,PM7503,Anthony Mason,,,,,13753,,17/02/2024,Low,USA,South Jennifer,In Progress,High
PRJ2028-474,COMP58047,PROJ8268,ORG50997,,LVL2,Software Development,Infrastructure Upgrade,,,,Enterprise,22/06/2023,18/07/2023,ACC725,SUP9641,,,,,,,,Rivera Inc,SUP3350,Allen Brown,PM7118,Raymond Ramirez,,,,,48698,,22/07/2023,High,Canada,New Jeffery,In Progress,Low
PRJ2026-741,COMP76131,PROJ8405,ORG95402,,LVL3,IT Infrastructure,Client Portal Revamp,,,,Small Business,09/02/2025,19/10/2022,ACC998,SUP6444,,,,,,,,"Martinez, Patton and Adams",SUP4421,William Daniel,PM7246,William Ramos,,,,,32337,,02/03/2025,Low,UK,Steventown,Completed,High
PRJ2026-351,COMP94874,PROJ1433,ORG20874,,LVL1,IT Infrastructure,CRM Implementation,,,,Small Business,,28/10/2022,ACC707,SUP2180,,,,,,,,Jones-Lane,SUP4843,Ryan Maldonado,PM5102,Jessica Robinson,,,,,14169,,,High,UK,Port Cristinaton,In Progress,High
PRJ2027-692,COMP87085,PROJ7097,ORG38652,,LVL2,Software Development,Client Portal Revamp,,,,Enterprise,,17/11/2024,ACC899,SUP5108,,,,,,,,"Eaton, Chambers and Torres",SUP1771,Daniel Coleman,PM2461,Brooke Booker,,,,,22724,,,High,Australia,West Elizabethville,Completed,Low
PRJ2023-846,COMP79562,PROJ4607,ORG27388,,LVL3,IT Infrastructure,Web Application Development,,,,Small Business,11/07/2022,16/07/2021,ACC103,SUP9116,,,,,,,,Russell-Graves,SUP3393,Amber Mendez,PM6630,Linda Rowe,,,,,35573,,07/08/2022,High,Australia,New Peterburgh,Completed,High
PRJ2026-779,COMP29363,PROJ6347,ORG75402,,LVL3,IT Infrastructure,Managed Helpdesk Services,,,,Small Business,,27/05/2022,ACC843,SUP1588,,,,,,,,Davis PLC,SUP7932,Louis Henderson,PM8736,Victoria Miller,,,,,16664,,,High,Australia,North Saraland,Completed,Medium
